date;associates
2022-01-31 19:04:00;30314
2022-01-31 23:04:00;30309
2022-01-31 23:31:00;30309
2022-02-01 07:31:00;30298
2022-02-01 11:31:00;30308
2022-02-01 15:31:00;30334
2022-02-01 19:32:00;30354
2022-02-01 23:32:00;30370
2022-02-02 00:08:00;30370
2022-02-02 08:08:00;30356
2022-02-02 12:08:00;30386
2022-02-02 16:08:00;30408
2022-02-02 20:08:00;30420
2022-02-03 00:08:00;30433
2022-02-03 00:15:00;30433
2022-02-03 00:41:00;30434
2022-02-03 08:41:00;30423
2022-02-03 12:41:00;30447
2022-02-03 16:41:00;30459
2022-02-03 20:41:00;30476
2022-02-04 00:41:00;30480
2022-02-04 01:00:00;30480
2022-02-04 05:00:00;30478
2022-02-04 07:54:00;30470
2022-02-04 11:54:00;30476
2022-02-04 15:54:00;30494
2022-02-04 19:54:00;30504
2022-02-04 23:54:00;30505
2022-02-05 03:54:00;30505
2022-02-05 07:54:00;30494
2022-02-05 08:24:00;30494
2022-02-05 12:24:00;30514
2022-02-05 16:24:00;30519
2022-02-05 20:24:00;30520
2022-02-06 00:24:00;30524
2022-02-06 04:24:00;30524
2022-02-06 08:24:00;30517
2022-02-06 08:39:00;30517
2022-02-06 16:39:00;30519
2022-02-06 20:39:00;30522
2022-02-07 00:39:00;30525
2022-02-07 04:39:00;30525
2022-02-07 08:39:00;30520
2022-02-07 09:20:00;30521
2022-02-07 13:20:00;30520
2022-02-07 17:20:00;30528
2022-02-07 21:20:00;30527
2022-02-08 01:20:00;30527
2022-02-08 05:20:00;30528
2022-02-08 09:20:00;30527
2022-02-08 13:42:00;30527
2022-02-08 17:40:00;30540
2022-02-08 21:40:00;30544
2022-02-09 01:40:00;30546
2022-02-09 05:40:00;30551
2022-02-09 09:40:00;30552
2022-02-09 09:45:00;30552
2022-02-09 13:45:00;30551
2022-02-09 21:45:00;30558
2022-02-10 01:45:00;30558
2022-02-10 05:45:00;30567
2022-02-10 09:45:00;30569
2022-02-10 13:45:00;30571
2022-02-10 17:45:00;30572
2022-02-10 18:16:00;30572
2022-02-10 22:16:00;30576
2022-02-11 02:16:00;30576
2022-02-11 07:49:00;30570
2022-02-11 11:49:00;30571
2022-02-11 15:49:00;30572
2022-02-11 19:49:00;30575
2022-02-11 23:49:00;30578
2022-02-12 03:49:00;30578
2022-02-12 08:05:00;30567
2022-02-12 12:05:00;30574
2022-02-12 16:05:00;30581
2022-02-12 20:05:00;30584
2022-02-13 00:05:00;30585
2022-02-13 04:05:00;30585
2022-02-13 08:05:00;30585
2022-02-13 08:23:00;30584
2022-02-13 12:23:00;30586
2022-02-13 16:23:00;30588
2022-02-13 20:23:00;30590
2022-02-14 00:23:00;30590
2022-02-14 07:15:00;30589
2022-02-14 11:15:00;30591
2022-02-14 15:15:00;30600
2022-02-14 19:15:00;30607
2022-02-14 23:15:00;30614
2022-02-15 03:15:00;30614
2022-02-15 07:15:00;30608
2022-02-15 07:57:00;30608
2022-02-15 11:57:00;30627
2022-02-15 15:57:00;30656
2022-02-15 19:57:00;30676
2022-02-15 23:57:00;30682
2022-02-16 03:57:00;30682
2022-02-16 07:57:00;30677
2022-02-16 08:38:00;30678
2022-02-16 12:38:00;30697
2022-02-16 16:38:00;30715
2022-02-16 20:38:00;30735
2022-02-17 00:38:00;30736
2022-02-17 04:38:00;30736
2022-02-17 08:38:00;30970
2022-02-17 09:28:00;30971
2022-02-17 13:28:00;30982
2022-02-17 17:28:00;30991
2022-02-17 21:28:00;30992
2022-02-18 01:28:00;30994
2022-02-18 05:28:00;30661
2022-02-18 09:28:00;30664
2022-02-18 10:27:00;30664
2022-02-18 14:27:00;30679
2022-02-18 18:27:00;30695
2022-02-18 22:27:00;30697
2022-02-19 02:27:00;30697
2022-02-19 06:27:00;30706
2022-02-19 10:27:00;30709
2022-02-19 10:39:00;30711
2022-02-19 14:39:00;30739
2022-02-19 18:39:00;30739
2022-02-20 06:39:00;30714
2022-02-20 10:39:00;30712
2022-02-20 11:11:00;30711
2022-02-20 15:11:00;30713
2022-02-20 19:11:00;30720
2022-02-20 23:11:00;30722
2022-02-21 03:11:00;30722
2022-02-21 07:11:00;30691
2022-02-21 11:11:00;30694
2022-02-21 11:56:00;30693
2022-02-21 19:56:00;30695
2022-02-21 23:56:00;30696
2022-02-22 03:56:00;30696
2022-02-22 07:56:00;30685
2022-02-22 11:56:00;30711
2022-02-22 12:52:00;30713
2022-02-22 16:52:00;30730
2022-02-22 20:16:00;30741
2022-02-23 00:16:00;30742
2022-02-23 04:16:00;30742
2022-02-23 08:16:00;30745
2022-02-23 12:16:00;30754
2022-02-23 16:16:00;30760
2022-02-23 20:16:00;30769
2022-02-23 20:39:00;30769
2022-02-23 22:51:00;30772
2022-02-24 06:51:00;30761
2022-02-24 10:51:00;30759
2022-02-24 13:13:00;30764
2022-02-24 14:12:00;30769
2022-02-24 18:12:00;30775
2022-02-24 19:40:00;30774
2022-02-24 23:40:00;30776
2022-02-25 03:40:00;30777
2022-02-25 07:40:00;30774
2022-02-25 11:40:00;30777
2022-02-25 15:40:00;30777
2022-02-25 17:38:00;30782
2022-02-25 18:41:00;30784
2022-02-25 22:41:00;30787
2022-02-26 00:00:00;30788
2022-02-26 05:33:00;30742
2022-02-26 09:33:00;30742
2022-02-26 17:33:00;30745
2022-02-26 21:33:00;30748
2022-02-27 01:33:00;30748
2022-02-27 06:10:00;30715
2022-02-27 10:10:00;30715
2022-02-27 14:10:00;30717
2022-02-27 18:10:00;30721
2022-02-27 22:10:00;30722
2022-02-28 02:10:00;30725
2022-02-28 03:03:00;30725
2022-02-28 07:03:00;30622
2022-02-28 10:11:00;30628
2022-02-28 14:11:00;30648
2022-02-28 18:11:00;30649
2022-02-28 22:11:00;30657
2022-03-01 02:11:00;30657
2022-03-01 06:11:00;30397
2022-03-01 10:11:00;30384
2022-03-01 10:20:00;30384
2022-03-01 14:20:00;30386
2022-03-01 18:20:00;30389
2022-03-01 22:20:00;30397
2022-03-02 02:20:00;30397
2022-03-02 06:20:00;30355
2022-03-02 10:20:00;30362
2022-03-02 10:25:00;30363
2022-03-02 14:25:00;30372
2022-03-02 18:25:00;30378
2022-03-02 22:25:00;30377
2022-03-03 02:25:00;30379
2022-03-03 06:25:00;30336
2022-03-03 10:25:00;30346
2022-03-03 10:42:00;30347
2022-03-03 14:42:00;30362
2022-03-03 18:42:00;30367
2022-03-03 22:42:00;30368
2022-03-04 02:42:00;30369
2022-03-04 06:42:00;30355
2022-03-04 10:42:00;30389
2022-03-04 10:50:00;30395
2022-03-04 14:50:00;30469
2022-03-04 18:50:00;30562
2022-03-04 22:50:00;30614
2022-03-05 01:23:00;30615
2022-03-05 05:23:00;30639
2022-03-05 09:23:00;30641
2022-03-05 17:23:00;30859
2022-03-05 21:23:00;30916
2022-03-06 01:23:00;30921
2022-03-06 01:41:00;30921
2022-03-06 05:41:00;30956
2022-03-06 07:50:00;30956
2022-03-06 09:19:00;30957
2022-03-06 13:19:00;30966
2022-03-06 17:19:00;31024
2022-03-06 18:09:00;31033
2022-03-06 18:52:00;31046
2022-03-06 22:52:00;31070
2022-03-07 02:52:00;31072
2022-03-07 06:52:00;31067
2022-03-07 08:06:00;31069
2022-03-07 12:06:00;31110
2022-03-07 16:06:00;31185
2022-03-07 20:06:00;31277
2022-03-08 00:06:00;31321
2022-03-08 04:06:00;31321
2022-03-08 08:06:00;31384
2022-03-08 08:40:00;31386
2022-03-08 12:40:00;31441
2022-03-08 16:40:00;31568
2022-03-08 20:40:00;31649
2022-03-08 22:16:00;31661
2022-03-09 02:16:00;31665
2022-03-09 04:52:00;31666
2022-03-09 05:59:00;31709
2022-03-09 09:59:00;31733
2022-03-09 13:59:00;31812
2022-03-09 17:59:00;31945
2022-03-09 21:59:00;32022
2022-03-10 01:21:00;32020
2022-03-10 05:21:00;32065
2022-03-10 09:21:00;32076
2022-03-10 13:21:00;32158
2022-03-10 17:21:00;32290
2022-03-10 21:21:00;32368
2022-03-10 22:44:00;32384
2022-03-11 02:44:00;32391
2022-03-11 04:06:00;32391
2022-03-11 08:06:00;32425
2022-03-11 12:06:00;32500
2022-03-11 16:06:00;32602
2022-03-11 20:06:00;32732
2022-03-12 00:06:00;32753
2022-03-12 04:06:00;32755
2022-03-12 04:37:00;32755
2022-03-12 06:12:00;32799
2022-03-12 10:12:00;32824
2022-03-12 14:12:00;32994
2022-03-12 18:12:00;33107
2022-03-12 22:12:00;33156
2022-03-13 02:12:00;33167
2022-03-13 06:12:00;33191
2022-03-13 07:04:00;33191
2022-03-13 11:04:00;33234
2022-03-13 15:04:00;33379
2022-03-13 19:04:00;33547
2022-03-13 23:04:00;33714
2022-03-14 03:04:00;33725
2022-03-14 07:04:00;33798
2022-03-14 07:53:00;33802
2022-03-14 11:53:00;33813
2022-03-14 15:53:00;33831
2022-03-14 19:53:00;33835
2022-03-14 20:35:00;33838
2022-03-15 00:35:00;33845
2022-03-15 04:35:00;33844
2022-03-15 06:35:00;33856
2022-03-15 10:35:00;33892
2022-03-15 14:35:00;33924
2022-03-15 18:35:00;33952
2022-03-15 22:35:00;33959
2022-03-16 02:35:00;33960
2022-03-16 06:35:00;33877
2022-03-16 07:32:00;33877
2022-03-16 11:32:00;33880
2022-03-16 12:47:00;33878
2022-03-16 16:40:00;33900
2022-03-16 20:40:00;33916
2022-03-17 00:40:00;33917
2022-03-17 04:40:00;33917
2022-03-17 08:35:00;33696
2022-03-17 13:52:00;33682
2022-03-17 17:52:00;33662
2022-03-17 21:24:00;33674
2022-03-18 01:24:00;33675
2022-03-18 04:51:00;33675
2022-03-18 08:51:00;33589
2022-03-18 12:51:00;33603
2022-03-18 16:51:00;33639
2022-03-18 20:51:00;33658
2022-03-19 00:51:00;33663
2022-03-19 04:51:00;33663
2022-03-19 05:33:00;33655
2022-03-19 09:33:00;33653
2022-03-19 13:33:00;33684
2022-03-19 17:33:00;33687
2022-03-19 21:33:00;33691
2022-03-20 01:33:00;33693
2022-03-20 05:33:00;33666
2022-03-20 06:09:00;33666
2022-03-20 14:09:00;33671
2022-03-20 18:09:00;33678
2022-03-20 22:09:00;33684
2022-03-21 02:09:00;33685
2022-03-21 06:09:00;33655
2022-03-21 06:58:00;33650
2022-03-21 10:58:00;33664
2022-03-21 14:58:00;33697
2022-03-21 18:58:00;33741
2022-03-21 22:58:00;33755
2022-03-22 02:58:00;33757
2022-03-22 06:58:00;33736
2022-03-22 07:29:00;33736
2022-03-22 11:29:00;33755
2022-03-22 15:29:00;33774
2022-03-22 19:29:00;33818
2022-03-22 23:29:00;33820
2022-03-23 03:29:00;33820
2022-03-23 07:29:00;33609
